country,countryCode,league,link,link2
Albania,ALB,Super League 2016/17,http://www.betexplorer.com/soccer/albania/super-league-2016-2017/results/,
Algeria,DZA,Ligue 1 2016/17,http://www.betexplorer.com/soccer/algeria/ligue-1-2016-2017/results/,
Andorra,AND,Primera Divisio 2016/17,http://www.betexplorer.com/soccer/andorra/primera-divisio-2016-2017/results/?stage=dp9brpEB,
Angola,AGO,Girabola 2017,http://www.betexplorer.com/soccer/angola/girabola-2017/results/,
Argentina,ARG,Primera Division 2016/17,http://www.betexplorer.com/soccer/argentina/primera-division-2016-2017/results/,
Armenia,ARM,Premier League 2016/17,http://www.betexplorer.com/soccer/armenia/premier-league-2016-2017/results/,
Australia,AUS,A-League,http://www.betexplorer.com/soccer/australia/a-league-2016-2017/results/?stage=OSxJcNoI,
Austria,AUT,Tipico Bundesliga,http://www.betexplorer.com/soccer/austria/tipico-bundesliga-2016-2017/results/,
Azerbaijan,AZE,Premier League 2016/17,http://www.betexplorer.com/soccer/azerbaijan/premier-league-2016-2017/results/,
Bahrain,BHR,Premier League 2016/17,http://www.betexplorer.com/soccer/bahrain/premier-league-2016-2017/results/,
Bangladesh,BGD,Premier League 2016,http://www.betexplorer.com/soccer/bangladesh/premier-league-2016/results/,
Belarus,BLR,Vysshaya Liga 2017,http://www.betexplorer.com/soccer/belarus/vysshaya-liga-2017/results/,
Belgium,BEL,Jupiler League 2016/17,http://www.betexplorer.com/soccer/belgium/jupiler-league-2016-2017/results/?stage=pEqnyyJ5,
Benin,BEN,Championnat National 2017,http://www.betexplorer.com/soccer/benin/championnat-national-2017/results/?stage=UmIqs8ke,
Bermuda,BMU,Premier League 2016/17,http://www.betexplorer.com/soccer/bermuda/premier-league-2016-2017/results/,
Bolivia,BOL,Liga De Futbol Prof,http://www.betexplorer.com/soccer/bolivia/liga-de-futbol-prof/results/?stage=YkUekFSA,
Bosnia and Herzegovina,BIH,Premier League 2016/17,http://www.betexplorer.com/soccer/bosnia-and-herzegovina/premier-league-2016-2017/results/?stage=UZbPQQBI,
Botswana,BWA,Premier League 2016/17,http://www.betexplorer.com/soccer/botswana/premier-league-2016-2017/results/,
Brazil,BRA,Serie A 2017,http://www.betexplorer.com/soccer/brazil/serie-a-2017/results/,
Bulgaria,BGR,Parva Liga 2016/17,http://www.betexplorer.com/soccer/bulgaria/parva-liga-2016-2017/results/?stage=jL1LCaGo,
Burkina Faso,BFA,Premier League 2016/17,http://www.betexplorer.com/soccer/burkina-faso/premier-league-2016-2017/results/,
Burundi,BDI,Ligue A 2016/17,http://www.betexplorer.com/soccer/burundi/ligue-a-2016-2017/results/,
Cambodia,KHM,C League 2017,http://www.betexplorer.com/soccer/cambodia/c-league-2017/results/?stage=C6A9JcSu,
Cameroon,CMR,Elite One 2017,http://www.betexplorer.com/soccer/cameroon/elite-one-2017/results/,
Canada,CAN,CSL 2017,http://www.betexplorer.com/soccer/canada/csl/results/?stage=2c4O90H4,
Cape Verde,CPV,Campeonato Nacional 2017,http://www.betexplorer.com/soccer/cape-verde/campeonato-nacional-2017/results/?stage=8QwHSgB7,
Chile,CHL,Primera Division 2016/17,http://www.betexplorer.com/soccer/chile/primera-division-2016-2017/results/?stage=rLuVt9Jr,
China,CHN,Super League 2017,http://www.betexplorer.com/soccer/china/super-league-2017/results/,
Colombia,COL,Liga Aguila 2017,http://www.betexplorer.com/soccer/colombia/liga-aguila-2017/results/?stage=b784b3on,http://www.betexplorer.com/soccer/colombia/liga-aguila-2017/results/?stage=ve7fczsc
Costa Rica,CRI,Primera Division 2016/17,http://www.betexplorer.com/soccer/costa-rica/primera-division-2016-2017/results/?stage=QqcvTd3r,http://www.betexplorer.com/soccer/costa-rica/primera-division-2016-2017/results/?stage=4KDaQfm1
Croatia,HRV,1. HNL 2016/17,http://www.betexplorer.com/soccer/croatia/1-hnl-2016-2017/results/,
Cyprus,CYP,Firist Division 2016/17,http://www.betexplorer.com/soccer/cyprus/first-division-2016-2017/results/?stage=Yg4UY3DF,
Czech Republic,CZE,1. Liga 2016/17,http://www.betexplorer.com/soccer/czech-republic/1-liga-2016-2017/results/,
Denmark,DNK,Superliga 2016/17,http://www.betexplorer.com/soccer/denmark/superliga-2016-2017/results/?stage=YaJUs6xQ,
Djibouti,DJI,Division 1 2016/17,http://www.betexplorer.com/soccer/djibouti/division-1-2016-2017/results/,
Dominican Republic,DOM,LDF 2017,http://www.betexplorer.com/soccer/dominican-republic/ldf-2017/results/?stage=EuIiv5zE,
DR Congo,COD,Super Ligue 2016/17,http://www.betexplorer.com/soccer/dr-congo/super-ligue-2016-2017/results/?stage=hQwiO5vT,
Ecuador,ECU,Serie A 2017,http://www.betexplorer.com/soccer/ecuador/serie-a-2017/results/?stage=hj1rutoO,http://www.betexplorer.com/soccer/ecuador/serie-a-2017/results/?stage=jyKov00U
Egypt,EGY,Premier League 2016/17,http://www.betexplorer.com/soccer/egypt/premier-league-2016-2017/results/,
El Salvador,SLV,Primera Division 2016/17,http://www.betexplorer.com/soccer/el-salvador/primera-division-2016-2017/results/?stage=EJQjXnT2,http://www.betexplorer.com/soccer/el-salvador/primera-division-2016-2017/results/?stage=MqUbVQcF
England,ENG,Premier League 2016/17,http://www.betexplorer.com/soccer/england/premier-league-2016-2017/results/,
Estonia,EST,Meistriliiga 2017,http://www.betexplorer.com/soccer/estonia/meistriliiga-2017/results/,
Ethiopia,ETH,Premier League 2016/17,http://www.betexplorer.com/soccer/ethiopia/premier-league-2016-2017/results/,
Faroe Islands,FRO,Premier League 2017,http://www.betexplorer.com/soccer/faroe-islands/premier-league-2017/results/,
Finland,FIN,Veikkausliiga 2017,http://www.betexplorer.com/soccer/finland/veikkausliiga-2017/results/,
France,FXX,Ligue 1 2016/17,http://www.betexplorer.com/soccer/france/ligue-1-2016-2017/results/,
FYR of Macedonia,MKD,First League 2016/17,http://www.betexplorer.com/soccer/fyr-of-macedonia/first-league-2016-2017/results/,
Gabon,GAB,Championnat D1 2016/17,http://www.betexplorer.com/soccer/gabon/championnat-d1-2016-2017/results/,
Gambia,GMB,GFA League 2016/17,http://www.betexplorer.com/soccer/gambia/gfa-league-2016-2017/results/,
Georgia,GEO,Erovnuli Liga 2017,http://www.betexplorer.com/soccer/georgia/erovnuli-liga-2017/results/,
Germany,DEU,Bundesliga 2016/17,http://www.betexplorer.com/soccer/germany/bundesliga-2016-2017/results/,
Ghana,GHA,Premier League 2017,http://www.betexplorer.com/soccer/ghana/premier-league-2017/results/,
Gibraltar,GIB,Premier Division 2016/17,http://www.betexplorer.com/soccer/gibraltar/premier-division-2016-2017/results/,
Greece,GRC,Super League 2016/17,http://www.betexplorer.com/soccer/greece/super-league-2016-2017/results/,
Guatemala,GTM,Liga Nacional 2016/17,http://www.betexplorer.com/soccer/guatemala/liga-nacional-2016-2017/results/?stage=bLaz1TcQ,http://www.betexplorer.com/soccer/guatemala/liga-nacional-2016-2017/results/?stage=d0yTd7Lm
Guinea,GIN,Ligue 1 2016/17,http://www.betexplorer.com/soccer/guinea/ligue-1-2016-2017/results/,
Haiti,HTI,Championnat National,http://www.betexplorer.com/soccer/haiti/championnat-national/results/?stage=4hPYnRh0,http://www.betexplorer.com/soccer/haiti/championnat-national/results/?stage=rqOxno86
Honduras,HND,Liga Nacional 2016/17,http://www.betexplorer.com/soccer/honduras/liga-nacional-2016-2017/results/?stage=SYATuUvl,http://www.betexplorer.com/soccer/honduras/liga-nacional-2016-2017/results/?stage=SpqmT790
Hong Kong,HKG,Premier League 2016/17,http://www.betexplorer.com/soccer/hong-kong/premier-league-2016-2017/results/,
Hungary,HUN,OTP Bank Liga 2016/17,http://www.betexplorer.com/soccer/hungary/otp-bank-liga-2016-2017/results/,
Iceland,ISL,Pepsidelid 2017,http://www.betexplorer.com/soccer/iceland/pepsideild-2017/results/,
India,IND,I-League 2017,http://www.betexplorer.com/soccer/india/i-league-2017/results/,
Indonesia,IDN,Liga 1 2017,http://www.betexplorer.com/soccer/indonesia/liga-1-2017/results/,
Iran,IRN,Persian Gulf Pro League 2016/17,http://www.betexplorer.com/soccer/iran/persian-gulf-pro-league-2016-2017/results/,
Iraq,IRQ,Super League 2016/17,http://www.betexplorer.com/soccer/iraq/super-league-2016-2017/results/,
Ireland,IRL,Premier Division 2017,http://www.betexplorer.com/soccer/ireland/premier-division-2017/results/,
Israel,ISR,Ligat Ha'al,http://www.betexplorer.com/soccer/israel/ligat-ha-al-2016-2017/results/?stage=Q1824zEq,
Italy,ITA,Serie A 2016/17,http://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/,
Ivory Coast,CIV,Ligue 1 2016/17,http://www.betexplorer.com/soccer/ivory-coast/ligue-1-2016-2017/results/,
Jamaica,JAM,Premier League 2016/17,http://www.betexplorer.com/soccer/jamaica/premier-league-2016-2017/results/?stage=rwBB6aFr,
Japan,JPN,J-League 2017,http://www.betexplorer.com/soccer/japan/j-league-2017/results/,
Jordan,JOR,Premier League 2016/17,http://www.betexplorer.com/soccer/jordan/premier-league-2016-2017/results/,
Kazakhstan,KAZ,Premier League 2017,http://www.betexplorer.com/soccer/kazakhstan/premier-league/results/?stage=tQfLSPqf,
Kenya,KEN,Premier League 2017,http://www.betexplorer.com/soccer/kenya/premier-league-2017/results/,
Kosovo,KOS,Premier League 2016/17,http://www.betexplorer.com/soccer/kosovo/superliga-2016-2017/results/,
Kuwait,KWT,Premier League 2016/17,http://www.betexplorer.com/soccer/kuwait/premier-league-2016-2017/results/,
Kyrgyzstan,KGZ,Top League 2017,http://www.betexplorer.com/soccer/kyrgyzstan/top-liga-2017/results/,
Latvia,LVA,Synottip Virsliga 2017,http://www.betexplorer.com/soccer/latvia/synottip-virsliga-2017/results/,
Lebanon,LBN,Premier League 2016/17,http://www.betexplorer.com/soccer/lebanon/premier-league-2016-2017/results/,
Lesotho,LSO,Premier League 2016/18,http://www.betexplorer.com/soccer/lesotho/premier-league-2016-2017/results/,
Liberia,LBR,LFA First Division 2016/17,http://www.betexplorer.com/soccer/liberia/lfa-first-division-2016-2017/results/,
Libya,LBY,Premier League 2017,http://www.betexplorer.com/soccer/libya/premier-league-2017/results/?stage=U7jJ6EZn,
Lithuania,LTU,A Lyga 2017,http://www.betexplorer.com/soccer/lithuania/a-lyga-2017/results/,
Luxembourg,LUX,National Division 2016/17,http://www.betexplorer.com/soccer/luxembourg/national-division-2016-2017/results/,
Malawi,MWI,Super League 2017,http://www.betexplorer.com/soccer/malawi/super-league-2017/results/,
Malaysia,MYS,Super League 2017,http://www.betexplorer.com/soccer/malaysia/super-league-2017/results/,
Maldives,MDV,Dhiveli Premier League 2017,http://www.betexplorer.com/soccer/maldives/dhivehi-premier-league-2017/results/,
Mali,MLI,Premiere Division 2016/17,http://www.betexplorer.com/soccer/mali/premiere-division-2016/results/?stage=dMOUV8NB,
Malta,MLT,Premier League 2016/17,http://www.betexplorer.com/soccer/malta/premier-league-2016-2017/results/,
Mauritania,MRT,Championnat D1 2016/17,http://www.betexplorer.com/soccer/mauritania/championnat-d1-2016-2017/results/,
Mauritius,MUS,Mauritian League 2016/17,http://www.betexplorer.com/soccer/mauritius/mauritian-league-2016-2017/results/,
Mexico,MEX,Primera Division 2016/17,http://www.betexplorer.com/soccer/mexico/primera-division-2016-2017/results/?stage=pGbGnjEK,http://www.betexplorer.com/soccer/mexico/primera-division-2016-2017/results/?stage=tnpnsUyr
Moldova,MDA,Divizia Nationala 2016/17,http://www.betexplorer.com/soccer/moldova/divizia-nationala-2016-2017/results/?stage=jswUIZul,
Montenegro,MNE,Prva Crnogorska 2016/17,http://www.betexplorer.com/soccer/montenegro/prva-crnogorska-liga-2016-2017/results/,
